Company,Job Title,Location,job Description
MSI Services,Order Management,Bengaluru,"About MSI SERVICES PVT LTD
MSI Services Pvt. Ltd is a subsidiary of MS International Inc. (USA), providing sourcing and backend operations based out of Bangalore. MS International Inc. is a leading nationwide distributor of flooring, countertop, wall tile and hardscaping products. Headquartered in Orange, California, MSI maintains more than 34+distribution centers across the United States and Canada. For detail visit our website – http://www.msiservices.in/
If you enjoy working in an entrepreneurial results oriented environment that values teamwork,innovation, and taking initiative, MSI is the right place for you. MSI values adaptability, hard work, education,customer service, knowledge based analytics and technology. Having grown over ten times in size in the last tenyears, MSI is seeking individuals looking for a long term career and upward mobility.
MSI Services Pvt. Ltd. is currently hiring suitable candidates for the role - “Associate – Order Management” within our business operations in Bangalore, India.
Associate – Order Management
1. Processing Sales Orders for company's sales divisions
2. Developing documentation related to support.
3. Planning inventory control.
4. Arranging distribution products.
5. Solving problems in cases of return of products.
6. Places orders, processes return requests and enters credits.
7. Handles customer inquiries in the areas of product information, ordering procedures, special order information and pricing, quote information, problems, returns, shipping.
8. Communicate to customers on orders status, any delays or problems with their requests.
9. Serve as liaison with third-party delivery service to coordinate deliveries and resolve problems.
10. Provide information and assistance as needed to inventory and warehouse personnel to allow for expeditious processing of damaged and defective merchandise.
11. Perform additional duties as required and or requested.
Desired Candidate Profile
1. Bachelors / Master Degree with a minimum of 1-4years of experience in international process,specialization in the Order Management is preferred.
2. Should be a fast learner.
3. The candidate should have relationship management skills since the job will involve liasoning with customers and US stakeholders.
4. The Candidate should have the ability to multi-task, prioritize and ability to learn more and be flexible.
5. The candidate must have excellent interpersonal and communication (verbal & written) skills with all levels of employees and management
6. The candidate should have excellent PC skills and should be well versed with Microsoft Products like Excel,Word and Access (optional).
7. This job may also require using various applications (Microsoft or others).
8. Goal-oriented, motivated self-starter, with excellent organizational skills and Strong problem solving skills.
9. Good follow up skills and Strong attention to detail.
10. Ability to work effectively with other organizations and individuals at all levels with minimal supervisionand assumes accountability for issues until final resolution.
11. Flexible to night shifts is mandatory. (9.00pm to 6.00am)"
Finastra USA Corporation,DevOps Engineer,Bengaluru,"Responsibilities:
What will you contribute?
DevOps professional primarily work in managing the DevOps infrastructure, tools and environments to support the development of products and customer pipelines, and offering various services to stakeholders.
Enforce the quality gate validation process to increase the speed and efficient way of making the quality software releases/packages readily available on committing and deploying it on various environments and trigger different test suits to detect early failures
You would be working in Bangalore, India, reporting to the DevOps manager

Responsibilities & Deliverables:
Your deliverables will include, but are not limited to, the following:
Delivery of product roadmap and Individual DevOps objectives
Maintain the stable DevOps infrastructure with minimum down time (Monitoring resources and its performance)
Implement and support Azure pipelines
Managing and monitoring existing customer pipelines

Required Experience:
Working experience with CI/CD toolings
Proficient in containerization tools such as Docker and Kubernetes
Competency on technologies like Docker, Docker Micro Services, Helm chart, Azure Cloud, Kubernetes Orchestration, Ansible playbooks, Terraform & pipeline implementation
Hands on experience in building, delivering and managing cloud pipelines using Azure DevOps
Hands on experience in Scripting and Automation
Implementing CI / CD with end-to-end automation including execution of test suits with Quality Gates and Criteria"
"EIDIM Group, Inc.",Network Specialist,Bengaluru,"About Us:
EIDIM stands for ""Everything Is Done In the Maker."" The firm was established in September 1999, pursuing the motto ""Spirituality & Competency Combined."" The company was founded by Andrew Bang, together with Rex S. Kim, and David J. Kim which is currently located in California, USA. Their knowledge and expertise in the Audio-Visual industry enabled them to conceptualize EIDIM Group Inc., through which their plethora of knowledge could be offered to others in need. EIDIM specializes in all aspects of the audiovisual world, such as consultation, design, installation, integration, and more.
EIDIM Group Inc. is hiring for a Network Specialist who is in Bangalore that would like to be a part of our team.
Job Responsibilities:
Determining company needs and coordinating the development and maintenance of network infrastructures with the IT team.
Ensuring secure and stable server connectivity and testing network protocols.
Creating internet domains and optimizing intranet performance.
Testing data exchange and communication between computers, routers, modems, and servers.
Installing, updating, and configuring end-user networking accessories.
Monitoring server capacity and performance to keep up with demand in online traffic.
Running diagnostic tests and performing repairs, as well as developing backup, archiving, and data retrieval procedures.
Enhancing network security, as well as documenting network processes and cabling layouts.
Keeping informed of developments in network technologies and infrastructure.
Qualifications:
Bachelor's degree in computer science, information science, or similar.
Excellent interpersonal, communication, and collaboration skills.
Great organizational and time management skills.
Certified CompTIA, Microsoft, or Cisco network professional preferred.
A minimum of two years' experience as a network specialist.
Extensive knowledge of network connectivity, technologies, protocols, and security.
Exceptional analytical and problem-solving skills.
Ability to collaborate with cross functional teams
Ability to multitask between different designs
Has computer/laptop, headset, and stable internet connection
Details:
Competitive starting salary
3 months Probationary Employee
Benefits after Regularization
Job Type: Full-time
Benefits:
Work from home
Schedule:
Fixed shift
Monday to Friday
Night shift
US shift
Supplemental pay types:
Yearly bonus
Application Question(s):
Do you have the necessary equipments (Laptop/Computer, Headset, Stable Internet conncetion) for a WFH set-up?
Salary expectation (monthly)
Education:
Bachelor's (Required)
Experience:
Cisco routers: 1 year (Required)
Audio Visual Industry: 1 year (Preferred)
IT management: 2 years (Preferred)
Computer networking: 2 years (Preferred)
Language:
English (Required)
Location:
Bengalore, Karnataka (Required)
Work Location: Remote"
Greenestep,Customer Support Analyst,Bengaluru,"Customer Support Analyst will provide technical and functional support to it customers on GreeneStep eBusiness Suite of Applications.
Must be able to take support calls, do outbound calls to customers to provide resolutions, seek additional information and document environment parameters that leads to better customer servicing.
Perform trouble shooting activities to provide Level 1 functional support & Level 2 Technical Support resolutions.
Deploy, Setup, Configure and Upgrade GreeneStep product modules and related customization projects.
Assist in Implementation, Training, Testing & Documentation.
Review MS SQL Queries, Run SQL profiler and other technical steps to document steps to recreate various issues and provide solutions.
This job involves working in Bengaluru for USA Time Zones."
JB Poindexter (India) Private Limited,Admin/PMO Coordinator,Bengaluru,"Company Overview
JB Poindexter (India) Private Limited is a subsidiary of J.B. Poindexter & Co., Inc. a privately held diversified manufacturing company forecasting $2.4B in annual revenue and 8,000 team members in 2024. The eight operating subsidiaries, covering over 50 locations, are engaged in the production of commercial truck bodies, step-vans, utility trucks, funeral coaches, limousines, pickup truck bed enclosures, precision machining, and expandable foam plastic packaging. For more information, visit www.jbpco.comfor more details.
JB Poindexter (India) Private Limited is the captive shared services unit of the J.B. Poindexter & Co., Inc. The company, wholly owned by J. B. Poindexter & Co., Inc. & is headquartered in Houston, Texas, USA.

Position Overview
Responsible for working within all stages of project management. Maintaining and monitoring project plans, project schedules, work hours, budgets and expenditures. Organizing, attending and participating in stakeholder meetings. Documenting and following up on important actions and decisions from meetings.

Primary Duties & Responsibilities
Collate and organize information and reports from various teams and departments
Ensuring that project initiatives are adhered to frameworks and documentation is maintained appropriately for each initiative
Facilitate meetings and distribute minutes to all project team members
Ability to summarize and represent information from various teams for consumption of C and D levels
Perform administrative tasks such as preparing estimates, scheduling meetings, etc.
Keep track of and report on project progress
Complete any tasks assigned by the leadership in an efficient and timely manner
Liaise with stakeholder to define project requirements, scope and objectives that align with organizational goals
Perform other duties assigned by the leadership orderly and efficiently
Proficiency in Microsoft Office and project management software
Highly organized and able to multitask and coordinate with several teams and initiatives simultaneously
Required Skills
Bachelor’s degree (or equivalent) in relevant field
Professional certification such as PMP (Project Management Professional) is nice to have
Eight or more years of experience in project coordination
Proven experience in coordinating teams and clients
Proven success in a corporate setting, working with all levels of stakeholders
Strong written, verbal, and presentation skills
Strong attention to detail and problem-solving skills
Code of Ethics:
JB Poindexter (India) Private Limited, requires the highest standard of ethics in all business dealings, with customers, suppliers, advisors, employees, and authorities. This position shall actively ensure that his/her own activities and those of all employees within the project meet this obligation. JBPCO critical standards and procedures related to expected conduct are detailed on the company website. This position is expected to be familiar with these policies and ensure that they are implemented in all areas of control.

ASSOCIATE
#LI-SM1"
Arcadis,Graduate Engineer - Roadway Design - USA Mobility,Bengaluru,"Arcadis is the world's leading company delivering sustainable design, engineering, and consultancy solutions for natural and built assets.
We are more than 36,000 people, in over 70 countries, dedicated to improving quality of life. Everyone has an important role to play. With the power of many curious minds, together we can solve the world’s most complex challenges and deliver more impact together.
Role description:
We are now recruiting talented individuals to fill our current vacancy for Graduate Engineer – Roadway Design to work on our projects from the Bangalore office.
Role accountabilities:
Design of Roadway and Highways to required standards.
Have a sound theoretical understanding of design principles
Having some experience in the use of relevant software is added advantage
Demonstrate good teamwork
Show evidence of continued professional development
Able to work with the team and develop technical understanding through self-learning and working with mentors
Able to communicate and work with the NA team including junior and senior engineers
Take on the responsibility to work with BIM staff to develop design drawings
Responsibility to work to required standards and quality assurance procedures
Understand and put into practice health and safety requirements
Develop an understanding of company systems.
Qualifications & Experience:
Engineering Degree in Civil Engineering with Masters in Transportation Engineering – With a minimum of 0 to 2 years of experience after post-graduation.
Experience in working on International projects. North America projects are desirable
Required Competencies:
Engineering Degree in Civil Engineering with Masters in Transportation Engineering – With a minimum of 0 to 2 years of experience after post-graduation.
Strong understanding of AASHTO, IRC and Other Multiple International Design Standards. Experience with AASHTO Standards will be desirable.
Excellent written and spoken English
Strong and effective communicator
Working in a team environment
Experience in working on International projects. North American projects are desirable
Knowledge of Bentley tools (e.g MicroStation) is added advantage.
Why Arcadis?
We can only achieve our goals when everyone is empowered to be their best. We believe everyone's contribution matters. It’s why we are pioneering a skills-based approach, where you can harness your unique experience and expertise to carve your career path and maximize the impact we can make together.
You’ll do meaningful work, and no matter what role, you’ll be helping to deliver sustainable solutions for a more prosperous planet. Make your mark, on your career, your colleagues, your clients, your life and the world around you.
Together, we can create a lasting legacy.
Our Commitment to Equality, Diversity, Inclusion & Belonging
We want you to be able to bring your best self to work every day which is why equality and inclusion is at the forefront of all our activities. Our ambition is to be an employer of choice and provide a great place to work for all our people. We are an equal opportunity employer; women, minorities, and people with disabilities are strongly encouraged to apply. We are dedicated to a policy of non-discrimination in employment on any basis including race, caste, creed, colour, religion, sex, age, disability, marital status, sexual orientation, and gender identity.
Join Arcadis. Create a Legacy.
#JoinArcadis
#CreateALegacy
#Hybrid"
Biofourmis,HR Director,Bengaluru,"Biofourmis brings the right care to every person, no matter where they are. The company's AI-driven solution collects and analyzes patient data in real time and identifies shifts that require proactive interventions. This vital innovation provides people everywhere with connected access to hospital-level services, virtual provider networks for remote care, and life-changing clinical trials—all without leaving their homes. Trusted by leading health systems, payers, biopharma companies and patients alike, Biofourmis' connected platform improves patient outcomes, prevents hospital readmissions, accelerates drug development, and closes critical gaps in care—ultimately making science smarter, healthcare simpler, and patients healthier. Biofourmis is a global technology company enabling care delivery, with headquarters in Needham, MA and key offices in Singapore and India. Join our team - we are Committed, Collaborative and Curious….we are Biofourmis!
Biofourmis is looking for a high energy Director of Human Resources to lead the people and talent activities for the India and Singapore offices. Reporting to the Chief Human Resources Officer located in Boston, Massachusetts, USA, and working very closely with the India Country Head, this position is responsible for providing overall leadership and guidance by overseeing all HR activities including talent acquisition, onboarding, employee career development, employee relations, retention programs, compensation, compliance and training activities.
Responsibilities
Function as a strategic, human capital business advisor to the senior management team
Develop initiatives, policies and programs to complement existing practices and create global consistency across the organization. Work closely with the Global HR team to represent the thinking and needs of the India office.
Oversee benefit and compensation plans to ensure cost efficiencies and attractiveness to retain top talent
Manage employee relations issues, including conflict resolution, disciplinary actions, and grievance procedures.
Ensure compliance with local laws and practices
Function as a player-coach, providing hands on engagement for all functional areas and issues
Continuously assess the pulse of the organization by forging strong working relationships with field management and associates
Drive a positive culture, employee relations and engagement climate
Manage and develop a small HR team.
Preferred Qualifications
Bachelor's degree
10+ years' of professional HR experience, with a combination of corporate and multi-location support exposure. Technology start-up experience preferred.
Excellent communications and influencing skills
Ability to multi-task, organize, and prioritize work
Experience at streamlining HR practices
Note: This is a hybrid role with a minimum requirement of 3 days per week in the office."
pentoz technology,python developer,Bengaluru,"Company Description

Pentoz is a Leading business innovation firm for new business ideas focusing on Web, Mobile and Gaming Apps Development. Based in USA, India, UK, Pentoz is a Leading business innovation firm for new business ideas focusing on Web, Mobile and Gaming Apps Development. Based in USA, India, UK,

Job Description

v In-depth knowledge in Core Python with Django building end to endapplications development.

v Experience in Web technologies-HTML, CSS, Javascript.

v Database - SQL Server/Postgres/ NoSQL database.

v Good understanding of Algorithms, data structures.

v Knowledge in ORM (Object Relational Mapper) libraries.

v Experience in integrating multiple data sources and databases into onesystem.

v Knowledge in REST / SOAP API

v Knowledge in version control tools like Git
v Experience with various cloud technologies.

Qualifications

graudate"
Excelr Solutions,Data Analyst Trainer,BTM 16th Main,"Job Title: Data Analytics Trainer
Experience / Skills:
At least minimum 2 years of experience in imparting training
Bachelor / Master degree in any field
Good interpersonal with excellent communication skills
Roles & Responsibilities
Imparting Training on Tableau, Excel, MySQL, PowerBi, Python or R Programming, Statistics.
Good understanding of Data Analysis concepts
Conduct online and classroom training sessions by providing practical use cases and assignments
Able to cater College Seminar, Workshop, & Corporate training.
Provide Interview Preparation and placement assistance to students
Manage Data Analytics Training Content including Session Presentations, Assignments, and Quizzes.
About Company
Founded in 2014, ExcelR has grown to become a leading giant in space of Training and Consulting, helping students and professionals across the globe by delivering top-notch, world-class classroom and online training. We house a passionate bunch of professionals that are committed to answering the industry's needs in the ever-changing technological advancements and catering to all your needs.
With world headquarters in the USA and presence in the UK, Middle East, Australia, Netherlands, and India, we have set up a firm global footprint transcending boundaries and reaching out to students from far and wide. Our passionate and dedicated team of experts has successfully trained over 140,000 students and professionals in multifarious domains which include Data Science, Project Management, ServiceNow, and Digital Marketing to name a few, and are committed to raising your excellence levels and accelerating your careers!
Job Types: Full-time, Permanent
Pay: ₹500,000.00 - ₹900,000.00 per year
Benefits:
Health insurance
Schedule:
Day shift
Supplemental pay types:
Overtime pay
Performance bonus
Experience:
Data analytics: 3 years (Required)
Training: 1 year (Required)
Ability to Commute:
BTM 16th Main, Karnataka (Required)
Ability to Relocate:
BTM 16th Main, Karnataka: Relocate before starting work (Required)
Work Location: In person"
Brightree,Customer Support Partner,Bengaluru,"ResMed has always applied the best of technology to improve people's lives. Now our SaaS technology is fueling a new era in the healthcare industry, with dynamic systems that change the way people receive care in settings outside of the hospital–and tools that work every day to help people stay well, longer. We have one of the largest actionable datasets in the industry, creating a complete view of people as they move between care settings. This is how we empower providers–with vital insight to deliver the care people need, right when they need it.
We're also ensuring that our health solutions connect to other companies' networks. Because when objectives align, everyone wins. And as we work today to drive better care and lower costs, we're developing more personalized solutions for tomorrow, utilizing machine learning, intelligent care paths, and predictive protocols. If you are an innovator who wants to make an impact we want to talk to you! We have exciting opportunities supporting Brightree by ResMed and MatrixCare by ResMed!
About ResMed
ResMed has pioneered some path-breaking solutions to improve people’s lives and our mission is to change 250 million lives in 2025. This culture of innovation is now being brought to ‘out-of-hospital’ care settings under ResMed’s SaaS division. The focus of the products and technologies is to complete the care continuum outside the hospital, enable seamless transitions for people as they move between different care settings, and empower caregivers with actionable data and insights that can transform the way care is delivered.
The vision is to continuously push the boundaries of innovation, improve patient outcomes, and put the patients and caregivers at the center of every innovation that we pursue.

Let’s talk about the Team
ResMed is setting up a Centre of Excellence (CoE) in Bangalore. This person would be an integral part of the CoE team and is expected to work in close tandem with the team members of the Customer Support/Customer Experience Team of MatrixCare in the USA. This individual must be a self-starter and should be passionate about wanting to play a key role in ensuring the success of our customers.

Job Summary
The Customer Support Partner is a full-time position & is part of the Customer Service Department. You will receive specialized product and industry training specific to the product you will support. A successful Support Partner is a motivated individual who is customer-focused and uses their analytical skills to find the root cause of an issue with a keen eye for details.

Let’s talk about Responsibilities
Provide effective phone and email software support to clients reporting problems or requiring on-the-spot coaching with our products
Utilize the Salesforce Service Console to log customer cases
Perform basic and advanced troubleshooting to identify/verify the underlying cause of customer-reported problems
Utilize internal resources to assist in the prompt resolution of application and technical issues
Contribute to the maintenance and improvement of the knowledge base
Escalate calls to higher-level analysts according to defined support processes
Contribute to the monthly team goals
Your stakeholders & customers would be based in the US
Participate in after hour on-call rotation

Let’s talk about Qualifications, Skills and Experience
Bachelor’s degree or equivalent experience
Excellent verbal and written communication skills
Good customer service skills in a technical environment
Good problem-solving and prioritization abilities
Must be comfortable working in the US business hours
Electronic Health Record experience is preferred
Knowledge of the post-acute healthcare industry is preferred

Joining us is more than saying “yes” to making the world a healthier place. It’s discovering a career that’s challenging, supportive, and inspiring. Where a culture driven by excellence helps you not only meet your goals but also create new ones. We focus on creating a diverse and inclusive culture, encouraging individual expression in the workplace, and thriving on the innovative ideas this generates. If this sounds like the workplace for you, apply now!
#SaaS
Joining us is more than saying “yes” to making the world a healthier place. It’s discovering a career that’s challenging, supportive and inspiring. Where a culture driven by excellence helps you not only meet your goals, but also create new ones. We focus on creating a diverse and inclusive culture, encouraging individual expression in the workplace and thrive on the innovative ideas this generates. If this sounds like the workplace for you, apply now! We commit to respond to every applicant."
Finastra USA Corporation,Training Advisor,Bengaluru,"Responsibilities:
What will you contribute?
Reporting to Ravi Neelkantrao Training Advisor is responsible for the creation of comprehensive end-to-end training and enablement artifacts based on in-depth training needs analysis, to curating training programs catering to a variety of learning groups and profiles. Keep track of product release cycles and keep the training agenda and content current, Deliver standard and custom end-user functional training to clients and comprehensive functional training to new and existing partners. Play a key role in driving and helping create a vibrant learning and development ecosystem. Build a motivating environment for employees, clients, and partners and ensure continuous upskilling to be at the top of the game in the marketplace.

Responsibilities & Deliverables:
Your deliverables will include, but are not limited to, the following:
Understand the key processes of product release cycles and assist in building the enablement and training content roadmap.
Deliver high-quality Instructor-led Essence functional training: Standard and Custom to clients and Partners through online channels and/or in-person.
Collaborate with business units to build and maintain training delivery infrastructure like training environments, training labs for hands-on practice, and post-training support systems
Work with SMEs to build certification question banks for different levels of certification.

Required Experience: 5- 8 years
Strong knowledge of Retail/Core banking modules such as Customer Management, Current and savings Accounts, Deposits, Lending, Payments, Fees and charges, Limits, Money Market, Standing Orders, Fund Transfer, and Financial Accounting.
Broad-based knowledge of local clearing working in general, local payment rails, and regulatory needs in different regions.
Experience in conducting client training for Banks and Financial services covering core banking modules.
Passionate about training and a trainer in Fintech product companies or banks is preferred.
Understanding of Knowledge management and training concepts, Strong communication skills and fluency in written and spoken English language is a must."
Okulo Aerospace,Drone Pilot: Fixed Wing UAVs and Drones,Bengaluru,"Job Information
Industry
Defence
Work Experience
1-3 years
City
Bangalore
State/Province
Karnataka
Country
India
Zip/Postal Code
560036
Job Description
Who we are and what we're looking for:

Okulo Aerospace is an early-stage startup based out of Bengaluru, Karnataka. Combining renewable energy and precision engineering, we are currently developing solar-electric hybrid aerial platforms that will revolutionise aerial data acquisition. We envision a world where drones can fly continuously without having to land at all and we are currently in the first step towards that realising that vision. Founded by alumni from Purdue University (USA) and NIT-Trichy (India) with extensive research background and with a vision to nurture great teams and develop solutions for hard problems, we are looking at joining hands with the next generation of talented individuals looking to embark on this exciting journey. Being part of Okulo Aerospace allows you to become part of a small team that supports professional development while working together to achieve our mission.

Are you an experienced aerospace engineer looking to make a meaningful impact that you just can’t find in legacy aerospace companies? Have you ever dreamed of piloting a clean-sheet aerial vehicle system? Would you like to deliver a significant percentage of key systems for a new product design? If so, you might be a good fit for the team in a UAV Test Pilot role here at Okulo Aerospace!

Roles and Responsibilities:

UAV Procedural piloting from an R&D and testing standpoint.

Responsible for creation and/or maintenance of Standard Operating Procedures for the flight-testing program.

Programming and setup of UAVs on the firmware level.

Plan and discuss the list of tests to be performed before flights. Test components on sub system level before the actual flight test.

Create and maintain performance logs, flight logs and pre-flight / post-flight checklists.

Conduct pre- and post-flight analysis and provide recommendations to design and manufacturing teams, be able to articulate the flight test inputs into technical data/pointers for the R&D team.

Diagnostics and troubleshooting of UAVs whenever required.

Must be able to gauge/calculate the risks involved in testing and evaluate testing procedures accordingly.

Requirements
B.E / B. Tech in aerospace/ mechanical/EC or other degrees with demonstrated UAV/aeromodelling and flying experience.

At least 3 years of experience in aeromodelling and R/C flying with over 1000 hours on the sticks.

At least 1 year of experience in UAV flying with over 300 hrs on the sticks.

Experience in setting up UAVs - Fixed wings as well as VTOLs.

Well versed with autopilot systems like Ardupilot, PX4 and GCS systems like Mission Planner and QGroundControl.

Hands-on proficiency in operating principles of motors, controllers, autopilot and standard onboard sensors of an aerial vehicle.

Ability to work with a flexible schedule. Must be able to work outside the job location.

Must possess excellent analytical skills and attention to detail.

Benefits
Intellectual fulfilment and rapid personal/professional development

Fast-paced, innovative team and work environment

Early-stage company benefits such as ESOPs

Flexible work hours, professional autonomy and team-oriented work culture with a flat hierarchy and strong meritocracy."
Clarivate,Solutions Analyst,Bengaluru,"We are looking for a Solutions Analyst to join our Web of Science Product Management Team. This is an amazing opportunity to work on Web of Science, the citation database considered to be the gold standard in the academic community, and to help researchers make new discoveries from millions of journal articles and billions of citations. The team consists of 26 people and this role will be reporting to the Manager, Solutions Analysis. The role sits within Clarivate’s Academic & Government segment, which also incorporates world class products from brands such as ProQuest and ExLibris. We have a great skill set in delivering customer value and we would love to speak with you if you have skills in business analysis or solutions analysis and a background in scholarly publishing.
About You – experience, education, skills, and accomplishments
At least 2 years of experience in business analysis or solutions analysis
Bachelor's degree in a relevant technical (computer science, mechanical engineering, life science) discipline
Fluent English
It would be great if you also had . . .
Experience in process engineering and workflow design, high-level technical design, requirements gathering and specification elaboration
Knowledge of JIRA or Confluence
Good understanding of working in an Agile development environment or lean business process methodologies
Experience in the scholarly publishing industry or academic research domain knowledge
Master's degree
What will you be doing in this role?
Responsible for the collection, analysis and documentation of customer and business needs and requirements; create and maintain detailed Agile-oriented artifacts for proposed solutions, including functional and non-functional specifications, system flows, and data models throughout the development lifecycle.
Working closely with the cross-functional teams (e.g. User Experience, Software Development, Solutions Architects, Data Science and Quality Assurance) to communicate and clarify requirements and ensure developments meet requirements by accepting completed work; documenting functional and non-functional requirements that will be used to guide software development, containing clear and unambiguous usage scenarios and acceptance criteria.
Collaborate on solution designs to ensure requirement alignment and implementation of effective data models and structures; lead discussions with cross-functional teams, including product owners, developers, QA, UX, architecture and delivery managers, to communicate and clarify requirements; communicate technical concepts to non-technical stakeholders in a clear and understandable manner.
Define acceptance criteria and work with QA teams to ensure that solutions meet the specified requirements and are free of defects; participate in testing processes to validate the functionality and performance of solutions.
About the Team
Web of Science product team is a global team of 26 people who work to develop the core Web of Science application and APIs. We are a mix of product managers, solutions analysts and product operations professionals who work to build solutions to delight our customers and ensure the Web of Science helps researchers be more effective. Web of Science is considered the gold standard citation database, originally conceived by the citation index pioneer Eugene Garfield and the Institute for Scientific Information in 1956. The Web of Science product team work closely with our colleagues in sales, marketing and technology to deliver new value to customers.
Hours of Work
Full time permanent role based in our Bangalore office. Collaboration with team members in UK (GMT timezone) and Philadelphia, USA (EST timezone) is required so the ideal candidate would be able to work flexibly to accommodate meetings outside of core hours.
At Clarivate, we are committed to providing equal employment opportunities for all persons with respect to hiring, compensation, promotion, training, and other terms, conditions, and privileges of employment. We comply with applicable laws and regulations governing non-discrimination in all locations."
BCD Travel Corporate,Senior Travel Associate,Bengaluru,"Bring your passion and energy to our growing team. We’re hiring!

Senior Travel Associate
Full Time, Bangalore India

As a Senior Travel Associate,
You will will be the first person in the market and really a pioneer.
You must be highly resourceful, self-sustained individual who can work well with minimum supervision and be comfortable working at the BCD or client office and be able to manage face to face conversations including managing some highly senior level executives.
This position performs at an expert/senior level and demonstrates an extensive knowledge and understanding and of all areas in the travel industry.
Responsible for accurately and efficiently handling incoming requests via multiple channels (i.e. phone, email, etc.) and providing proactive travel consultation
Book reservations for air travel, hotel and car rentals, with accuracy
Handle Travel arrangements with complete confidentiality and offering high touch services
Arrange innovative and creative special services as requested by the client.
Solve problems on the spot using various tools and expert communication skills
Own problems throughout the lifecycle of issue and be available to respond as necessary
Able to make independent decisions under difficult situations
Must be able to work in a 'self-directed"" environment as well as be a team player
Maintains, and seeks expansion of current knowledge and have a growth mindset
Achieve individual and contractual service level goals related to telephone, quality, and productivity.
Maintain client profiles, ensuring specials requests and reward program information are included, such as frequent flyer / driver / hotel stay.
Ensure optimum customer service through effective use of phone systems and positive telephone service techniques and email etiquettes.
Know and properly use airline terminology, codes, fare basis, airline rules and tariffs, resource guides and industry contacts.
Remain informed of all airline rules and regulations and current affairs. Communicate information to clients accurately and appropriately.
Assume and perform other duties and responsibilities not specifically outlined herein, as and when requested.

About you:
Ideally you will have 5 to 6 years of relevant work experience as a Travel/Senior Travel Consultant. Strong knowledge of managing travel request not only for travel with in and from India but also regionally (APAC) as well as Globally as this person will support request from other markets as part of after office hours services or/and on need basis.
Prior experience of working as an implant will be preferred
Dedication to customer satisfaction, show a willingness to do what it takes to get the job done, acting with tact and demonstrating excellent problem-solving skills.
Strong interpersonal skills and professionalism.
Strong international booking and ticketing knowledge in complex multi-sector and round the world routing departing from all major global hubs, including domestic travel within USA.
Demonstrate above average productivity level.
Proficiency on GDS system mandatory
Demonstrate internet research skills for clients' information.
Ability to deliver high levels of customer service to travellers.
The ideal candidate must be willing to work weekends and be able to deal with on call provision for after office hours/weekends/PH. Overall someone who be flexible in regards to operating hours.

About us:
We’re a market leader in travel management: We help people and companies travel smart and achieve more, and our clients include some of the world’s best-known and most innovative business and consumer brands. We operate in more than 100 countries, and the majority of our 10,000+ people work virtually (because a 10-second commute usually makes awesome sense). We’re committed to sustainability and to driving success for our customers, our business and ourselves. Learn more about BCD Travel

Your life at BCD
Working at BCD means connecting, collaborating and celebrating. You’ll be part of a virtual, dynamic and flexible work environment that fosters a good work-life balance so you can focus on what makes you happy. But don’t just take our word for it! Hear why people join BCD and more about the great perks of Life at BCD.

You’ll be offered
Flexible working hours and work-from-home or remote opportunities
Opportunities to grow your skillset and career
Generous vacation days so you can rest and recharge
A compensation package that feels fair to you
Travel industry professional perks and discounts
An inclusive work environment where diversity is celebrated

Ready to join the journey? Apply now!
We’re dedicated to building a diverse, inclusive and authentic workplace. If you’re excited about a role, but your experience doesn’t align perfectly, we encourage you to apply. You may be just the right candidate for this or other positions.
#LI-TL1"
